Ticket,Fare,Cabin,Embarked
364506,8.05,,S
364512,8.05,,S
364516,12.475,,S
364846,7.75,,Q
364848,7.75,,Q
364849,15.5,,Q
364851,7.75,,Q
365222,6.75,,Q
367226,23.25,,Q
367228,7.75,,Q
367229,7.75,,Q
367655,7.7292,,Q
368323,6.95,,Q
368703,7.75,,Q
370129,20.2125,,S
370365,15.5,,Q
370369,7.75,,Q
370370,7.75,,Q
370371,15.5,,Q
370372,7.75,,Q
370373,7.75,,Q
370375,7.75,,Q
370377,7.75,,Q
371060,7.75,,Q
371362,16.1,,S
372622,7.75,,Q
373450,8.05,,S
374746,8.05,,S
374887,7.25,,S
374910,8.05,,S
376564,16.1,,S
376566,16.1,,S
382649,7.75,,Q
382652,29.125,,Q
383121,7.75,F38,Q
384461,7.75,,Q
386525,16.1,,S
392091,9.35,,S
392096,12.475,E121,S
3101264,6.4958,,S
3101267,6.4958,,S
3101276,7.925,,S
3101278,15.85,,S
3101295,39.6875,,S
A./5. 2152,8.05,,S
A./5. 3235,8.05,,S
A.5. 18509,8.05,,S
A/4 45380,8.05,,S
A/4 48871,24.15,,S
A/4. 34244,7.25,,S
A/4. 39886,7.8,,S
A/5 21171,7.25,,S
A/5 21174,7.25,,S
A/5 2466,8.05,,S
A/5 2817,8.05,,S
A/5 3536,8.05,,S
A/5 3594,8.05,,S
A/5. 10482,8.05,,S
A/5. 13032,7.7333,,Q
A/5. 2151,8.05,,S
A/5. 3336,16.1,,S
A/5. 851,14.5,,S
A4. 54510,8.05,,S
C 17369,7.1417,,S
C 7075,6.45,,S
C 7077,7.25,,S
C.A. 17248,10.5,,S
C.A. 18723,10.5,,S
C.A. 2315,20.575,,S
C.A. 24579,10.5,,S
C.A. 24580,10.5,,S
C.A. 2673,20.25,,S
C.A. 29178,13,,S
C.A. 29395,10.5,F33,S
C.A. 31921,26.25,,S
C.A. 33111,10.5,,S
C.A. 33112,36.75,,S
C.A. 33595,15.75,,S
C.A. 34260,10.5,F33,S
C.A. 34651,27.75,,S
C.A. 37671,15.9,,S
C.A. 5547,7.55,,S
C.A. 6212,15.1,,S
C.A./SOTON 34068,10.5,,S
CA 2144,46.9,,S
CA. 2314,7.55,,S
CA. 2343,69.55,,S
F.C.C. 13528,21,,S
F.C.C. 13529,26.25,,S
Fa 265302,7.3125,,S
LINE,0,,S
P/PP 3381,24,,C
PC 17318,25.925,,S
PC 17473,26.2875,E25,S
PC 17474,26.3875,E25,S
PC 17475,26.2875,E24,S
PC 17476,26.2875,E24,S
PC 17477,69.3,B35,C
PC 17482,49.5042,C90,C
PC 17483,221.7792,C95,S
PC 17485,56.9292,A20,C
PC 17558,247.5208,B58 B60,C
PC 17569,146.5208,B78 B80,C
PC 17572,76.7292,D33,C
PC 17582,153.4625,C91 C125,S
PC 17585,79.2,,C
PC 17590,50.4958,A24,S
PC 17592,39.4,D28,S
PC 17593,79.2,B82 B84 B86,C
PC 17595,28.7125,C49,C
PC 17597,61.3792,,C
PC 17599,71.2833,C85,C
PC 17600,30.6958,,C
PC 17601,27.7208,,C
PC 17603,59.4,,C
PC 17604,82.1708,,C
PC 17605,27.7208,,C
PC 17608,262.375,B57 B59 B63 B66,C
PC 17609,49.5042,,C
PC 17611,133.65,,S
PC 17612,27.7208,,C
PC 17754,34.6542,A5,C
PC 17755,512.3292,B101,C
PC 17756,83.1583,E49,C
PC 17757,227.525,C62 C64,C
PC 17758,108.9,C65,C
PC 17759,63.3583,D10 D12,C
PC 17760,135.6333,C32 C99,C
PC 17761,106.425,,C
PP 9549,16.7,G6,S
S.C./PARIS 2079,37.0042,,C
S.O./P.P. 3,10.5,E77,S
S.O.C. 14879,73.5,,S
S.O.P. 1166,12.525,,S
SC 1748,12,,C
SC/AH 29037,26,,S
SC/AH 3085,26,,S
SC/AH Basle 541,13.7917,D,C
SC/Paris 2123,41.5792,,C
SC/PARIS 2131,15.05,,C
SC/PARIS 2133,15.0458,,C
SC/PARIS 2146,13.8625,,C
SC/PARIS 2149,13.8583,,C
SC/Paris 2163,12.875,D,C
SC/PARIS 2167,27.7208,,C
SCO/W 1585,12.275,,S
SO/C 14885,10.5,,S
SOTON/O.Q. 3101307,7.05,,S
SOTON/O.Q. 3101310,7.05,,S
SOTON/O.Q. 3101312,7.05,,S
SOTON/O.Q. 392078,8.05,E10,S
SOTON/O.Q. 392087,8.05,,S
SOTON/O2 3101272,7.125,,S
SOTON/O2 3101287,7.925,,S
SOTON/OQ 3101316,8.05,,S
SOTON/OQ 3101317,7.25,,S
SOTON/OQ 392082,8.05,,S
SOTON/OQ 392089,8.05,,S
SOTON/OQ 392090,8.05,,S
STON/O 2. 3101269,7.925,,S
STON/O 2. 3101274,7.125,,S
STON/O 2. 3101275,7.125,,S
STON/O 2. 3101280,7.925,,S
STON/O 2. 3101285,7.925,,S
STON/O 2. 3101288,7.925,,S
STON/O 2. 3101289,7.925,,S
STON/O 2. 3101292,7.925,,S
STON/O 2. 3101293,7.925,,S
STON/O 2. 3101294,7.925,,S
STON/O2. 3101282,7.925,,S
STON/O2. 3101283,7.925,,S
STON/O2. 3101290,7.925,,S
SW/PP 751,10.5,,S
W./C. 14258,10.5,,S
W./C. 6607,23.45,,S
W./C. 6608,34.375,,S
W./C. 6609,7.55,,S
W/C 14208,10.5,,S
WE/P 5735,71,B22,S
